username,score
Alice,150
Bob,120

Player,0
Player,0
Player,30
"dcdve",20
"dcdve",0
"",10
"",10
"",0
"",0
"",0
"",0
"",20
"",0
"",70
"",0
"",0
"",0
"",10
"",0
"",20
"",50
"",50
"",60
